video_id,videoViewCount,videoLikesCount,videoCommentsCount
IMU1V-JugKo,59034,1875,52
FpgkpjSyBOw,46633,1381,376
6jtS3Hz19kc,33388,799,80
JpSMse3eVVg,98597,2163,47
TPivN7tpdwc,155870,3330,84
kky9MMydnOA,10326,338,27
2izXQUoXyjA,66086,1253,59
zilfrWwbteQ,39394,1080,31
PJINexERxOs,46892,1268,74
gTf2GLEhKgA,160654,4540,412
VRmXto2YA2I,125685,3017,137
6yNsc7JVPJE,39794,1798,82
mBCG9J1TVTc,78976,1771,53
WizLaDdsHUs,238542,6437,253
kB7FV-ijdqE,127603,2634,70
dFA0E-6xT_M,11213,392,33
dUpyC40cF6Q,259283,4185,121
gs0FNQR0njI,84363,1836,99
C75TROiiEa0,449307,8306,221
rGx1QNdYzvs,2119625,49570,1913
CUBfrdDwznQ,1387452,45069,1399
L-QnW_BZT3c,17815,633,23
S76iS03nGis,41667,1478,120
RBEgsEVO3T8,29368,857,49
gCG07l6Fu-U,46650,1355,36
DXwFsxCtukg,65611,3028,222
ey1VNjU0YbM,104736,2116,92
0MKcCHrTo0c,12419,335,13
bVJfQAe-UP4,158237,8704,856
_2OknmkngkQ,5112,166,15
B63bN2cLVLM,62422,1615,40
zvzjaqMBEso,102658,2194,44
ECduJk00mUU,98555,2338,37
zmIdC0_0BgY,90413,1970,37
eP8-mo5jRrY,6314,199,18
-BOBedcjySI,76232,1819,33
lPVke-p4S7s,76204,1867,22
ppsCxnNm-JI,179175,3905,87
rVhHGPDzEck,5747,181,11
pHOH7UfOhbE,165936,3424,83
sXHIIW3Wt84,5279,243,21
WUeBzT43JyY,538317,7648,205
DVs9u15htXU,9687,333,21
zW3qJUeJLWc,7674,336,31
m1AkWK_ODLM,16317,693,84
Pfq-8pGzgg4,6799,212,8
pixlHHe_lNQ,565220,10378,542
3NV5Jtbhfcw,176343,3622,78
1cfrQLoJMPI,60482,2179,96
9j_EBt3RNrs,145968,3037,57
m0h3Ghl6mgY,241980,3564,66
50D__p6jdEI,77614,2069,78
tRCGGlMI19M,7458,258,15
0QZBnhofU_U,28906,678,130
ulFY20KTzFQ,285800,4684,94
